row_index,changed_fields,old_student_utterance,new_student_utterance,old_miniLM_labels,new_miniLM_labels,old_hope_signals,new_hope_signals,old_target_policy_action,new_target_policy_action
69,miniLM_labels;hope_signals;target_policy_action,"proving root 2 is irrational, the steps confuse me. can you show it like a story or a comic strip, like what happens at each step?","proving root 2 is irrational, the steps confuse me. can you show it like a story or a comic strip, like what happens at each step?","confusion, request_representation, verbal_analogy, question","algebraic, confusion, curiosity, procedural_focus, question, verbal_analogy","High load_risk, High productive_struggle","Moderate load_risk, Active engagement, High ct_score, High ki_score",REPRESENTATION_TRANSLATION,VERBAL_ANALOGY
70,miniLM_labels;hope_signals;target_policy_action,"this sin cos tan like what is it showing? can you explain it with like a real-world ramp or something, not just a triangle drawing?","this sin cos tan like what is it showing? can you explain it with like a real-world ramp or something, not just a triangle drawing?","confusion, question, representation_shift, graphical","algebraic, curiosity, diagrammatic, question","High load_risk, High ki_score opportunity","Active engagement, High ct_score, Moderate ki_score",VISUAL_ANALOGY,EXPLAIN
71,miniLM_labels;hope_signals,"i am not understanding this at all, can you show me some other way?","i am not understanding this at all, can you show me some other way?","confusion, representation_shift, low_confidence, question, simplification_request","confusion, curiosity, question, representation_shift, request_representation",High load_risk,"Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
72,student_utterance;miniLM_labels;hope_signals,"that U shape graph, parabola, why is it curved like that? can you show how it comes from the equation values?","that you shape graph, parabola, why is it curved like that? can you show how it comes from the equation values?","confusion, question, graphical, representation_shift","algebraic, curiosity, diagrammatic, graphical, question, representation_shift, request_representation","Moderate load_risk, High ki_score opportunity","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
73,student_utterance;miniLM_labels;hope_signals,"too many big words, can you tell me this in simple words pls?","too many big words, can you tell me this in simple words please?","confusion, cognitive_overload, question, simplification_request","cognitive_overload, curiosity, environmental_feedback, question, simplification_request",High load_risk,"Moderate load_risk, Cognitive overload, Active engagement, High ct_score",EXPLAIN,EXPLAIN
74,miniLM_labels;hope_signals,"when we join shapes like a cylinder and a cone, which surfaces count for total area? can you highlight them on a diagram?","when we join shapes like a cylinder and a cone, which surfaces count for total area? can you highlight them on a diagram?","confusion, question, diagrammatic, representation_shift","curiosity, diagrammatic, question, representation_shift, request_representation","Moderate load_risk, Partial mastery","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
75,miniLM_labels;hope_signals;target_policy_action,"the contradiction proof method is confusing, why do we assume opposite? can you show it step by step for root 2 as example?","the contradiction proof method is confusing, why do we assume opposite? can you show it step by step for root 2 as example?","confusion, question, procedural_focus, algebraic, example_request","abstraction_attempt, algebraic, confusion, curiosity, example_request, procedural_focus, question",High load_risk,"Moderate load_risk, Active engagement, High ct_score, High ki_score",EXPLAIN,WORKED_EXAMPLE
76,miniLM_labels;hope_signals;target_policy_action,"this is hard to imagine, can i see a picture or a moving thing for this?","this is hard to imagine, can i see a picture or a moving thing for this?","confusion, request_representation, graphical, question","curiosity, question, representation_shift, request_representation, verbal_analogy","High load_risk, High ki_score opportunity","Active engagement, High ct_score, High ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,VERBAL_ANALOGY
77,miniLM_labels;hope_signals;target_policy_action,BPT diagram is simple but how do I use it in problems where the triangle is drawn weirdly or has extra lines?,BPT diagram is simple but how do I use it in problems where the triangle is drawn weirdly or has extra lines?,"confusion, question, diagrammatic, transfer_attempt, simplification_request","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation, simplification_request","Moderate load_risk, High productive_struggle","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",ANALOGOUS_EXAMPLE,REPRESENTATION_TRANSLATION
78,miniLM_labels;hope_signals;target_policy_action,"my brain is not processing this text, can you like say it out loud or a small audio clip?","my brain is not processing this text, can you like say it out loud or a small audio clip?","cognitive_overload, request_representation, disengagement, question","cognitive_overload, curiosity, environmental_feedback, question, self_monitoring",High load_risk,"Moderate load_risk, Cognitive overload, Active engagement, High ct_score",REPRESENTATION_TRANSLATION,EXPLAIN
79,miniLM_labels;hope_signals,"quadratic formula always looks so scary, can you show me how it works with actual numbers, step by step?","quadratic formula always looks so scary, can you show me how it works with actual numbers, step by step?","low_confidence, confusion, procedural_focus, algebraic, question","algebraic, curiosity, example_request, procedural_focus, question, representation_shift, request_representation",High load_risk,"Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",WORKED_EXAMPLE,WORKED_EXAMPLE
80,student_utterance;miniLM_labels;hope_signals,"this diagram is making me confused, can u draw it simply with less lines?","this diagram is making me confused, can you draw it simply with less lines?","confusion, diagrammatic, request_representation, question, simplification_request","confusion, curiosity, diagrammatic, question, representation_shift, request_representation, simplification_request",High load_risk,"Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
81,miniLM_labels;hope_signals,"the parabola graph shows zeroes, ok, but can you like animate it, to see how the roots change when the equation changes?","the parabola graph shows zeroes, ok, but can you like animate it, to see how the roots change when the equation changes?","confusion, graphical, request_representation, curiosity, question","algebraic, curiosity, graphical, question, representation_shift, request_representation",High ki_score,"Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
82,student_utterance;miniLM_labels;hope_signals;target_policy_action,"this is all theory na, can u give me a practical example to make it clear?","this is all theory na, can you give me a practical example to make it clear?","confusion, example_request, question","abstraction_attempt, curiosity, example_request, high_confidence, physical, question, transfer_attempt",Moderate load_risk,"High confidence, Mastery threshold met, Active engagement, High ct_score",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE
